wall_time,ros_time,reset_index,mode,run_state,surface_source,tcp_limit,stamp_mode,elapsed,run_id,run_elapsed,tool_down_score,tcp_z,base_surface_z,surface_blend,surface_step,surface_z,eq_tcp_z,tcp_eq_err,penetration,fz_virtual_N,desired_fz_N,force_error_N,control_rate_hz,command_horizon,lead_time,normal_mass,normal_damping,surface_stiffness,surface_damping,max_z_velocity,max_xy_velocity,line_length,line_speed,line_turn_time,wave_height,wave_cycles,surface_blend_time,vz_raw,vz_admittance,xy_ref_vx,xy_ref_vy,x_error,y_error,xy_error,qdot_max,min_singular,joint_error_max,xy_ref_x,xy_ref_y,link_x,link_y,link_z,link7_z_axis_x,link7_z_axis_y,link7_z_axis_z,bump_center_x,bump_center_y,vx_command,vy_command,vz_command,raw_state
2026-07-13T14:41:26.550,16.157,0,x_wave,settle,settle,free,future,0.03,1.0,0.0,0.7555,0.3363,0.336,0.0,0.0,0.336,0.33,0.0063,-0.0003,0.0,6.0,-6.0,30.0,0.1,0.03,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.005,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0415,-0.0004,0.0415,0.0586,0.11094,0.002,0.41,0.026,0.3685,0.0264,0.3763,0.6547,0.0245,-0.7555,0.392,0.026,0.018,-0.0007,-0.014,"elapsed=0.03 mode=x_wave run_state=settle run_id=1 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3685, 0.0264, 0.3763] link7_z_axis=[0.6547, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3363 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0063 bump_center=[0.3920, 0.0260] penetration=-0.0003 fz_virtual_N=0.000 desired_fz_N=6.000 force_error_N=-6.000 control_rate_hz=30.00 command_horizon=0.100 lead_time=0.030 stamp_mode=future normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0050 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0007, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0415 y_error=-0.0004 xy_error=0.0415 qdot_max=0.0586 min_singular=0.11094 joint_error_max=0.0020"
2026-07-13T14:41:26.568,16.19,0,x_wave,settle,settle,free,future,0.07,1.0,0.0,0.7555,0.3363,0.336,0.0,0.0,0.336,0.33,0.0063,-0.0003,0.0,6.0,-6.0,30.0,0.1,0.03,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.005,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0415,-0.0004,0.0415,0.0586,0.11094,0.004,0.41,0.026,0.3685,0.0264,0.3763,0.6547,0.0245,-0.7555,0.392,0.026,0.018,-0.0007,-0.014,"elapsed=0.07 mode=x_wave run_state=settle run_id=1 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3685, 0.0264, 0.3763] link7_z_axis=[0.6547, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3363 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0063 bump_center=[0.3920, 0.0260] penetration=-0.0003 fz_virtual_N=0.000 desired_fz_N=6.000 force_error_N=-6.000 control_rate_hz=30.00 command_horizon=0.100 lead_time=0.030 stamp_mode=future normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0050 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0007, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0415 y_error=-0.0004 xy_error=0.0415 qdot_max=0.0586 min_singular=0.11094 joint_error_max=0.0040"
2026-07-13T14:41:26.600,16.222,0,x_wave,settle,settle,free,future,0.1,1.0,0.0,0.7555,0.3362,0.336,0.0,0.0,0.336,0.33,0.0062,-0.0002,0.0,6.0,-6.0,30.0,0.1,0.03,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.005,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0414,-0.0004,0.0414,0.0586,0.11094,0.0056,0.41,0.026,0.3686,0.0264,0.3762,0.6547,0.0245,-0.7555,0.392,0.026,0.018,-0.0007,-0.014,"elapsed=0.10 mode=x_wave run_state=settle run_id=1 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3686, 0.0264, 0.3762] link7_z_axis=[0.6547, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3362 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0062 bump_center=[0.3920, 0.0260] penetration=-0.0002 fz_virtual_N=0.000 desired_fz_N=6.000 force_error_N=-6.000 control_rate_hz=30.00 command_horizon=0.100 lead_time=0.030 stamp_mode=future normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0050 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0007, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0414 y_error=-0.0004 xy_error=0.0414 qdot_max=0.0586 min_singular=0.11094 joint_error_max=0.0056"
2026-07-13T14:41:26.634,16.256,0,x_wave,settle,settle,free,future,0.13,1.0,0.0,0.7555,0.3359,0.336,0.0,0.0,0.336,0.33,0.0059,0.0001,0.156,6.0,-5.844,30.0,0.1,0.03,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.005,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.041,-0.0004,0.041,0.0586,0.11092,0.0062,0.41,0.026,0.369,0.0264,0.3759,0.6547,0.0245,-0.7555,0.392,0.026,0.018,-0.0007,-0.014,"elapsed=0.13 mode=x_wave run_state=settle run_id=1 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3690, 0.0264, 0.3759] link7_z_axis=[0.6547, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3359 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0059 bump_center=[0.3920, 0.0260] penetration=0.0001 fz_virtual_N=0.156 desired_fz_N=6.000 force_error_N=-5.844 control_rate_hz=30.00 command_horizon=0.100 lead_time=0.030 stamp_mode=future normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0050 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0007, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0410 y_error=-0.0004 xy_error=0.0410 qdot_max=0.0586 min_singular=0.11092 joint_error_max=0.0062"
2026-07-13T14:41:26.668,16.29,0,x_wave,settle,settle,free,future,0.17,1.0,0.0,0.7555,0.3357,0.336,0.0,0.0,0.336,0.33,0.0057,0.0003,0.34,6.0,-5.66,30.0,0.1,0.03,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.005,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0408,-0.0004,0.0408,0.0587,0.11091,0.0072,0.41,0.026,0.3692,0.0264,0.3757,0.6547,0.0245,-0.7555,0.392,0.026,0.018,-0.0006,-0.014,"elapsed=0.17 mode=x_wave run_state=settle run_id=1 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3692, 0.0264, 0.3757] link7_z_axis=[0.6547, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3357 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0057 bump_center=[0.3920, 0.0260] penetration=0.0003 fz_virtual_N=0.340 desired_fz_N=6.000 force_error_N=-5.660 control_rate_hz=30.00 command_horizon=0.100 lead_time=0.030 stamp_mode=future normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0050 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0006, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0408 y_error=-0.0004 xy_error=0.0408 qdot_max=0.0587 min_singular=0.11091 joint_error_max=0.0072"
2026-07-13T14:41:26.702,16.323,0,x_wave,settle,settle,free,future,0.2,1.0,0.0,0.7555,0.3353,0.336,0.0,0.0,0.336,0.33,0.0053,0.0007,0.922,6.0,-5.078,30.0,0.1,0.03,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.005,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0402,-0.0003,0.0402,0.0587,0.11089,0.0069,0.41,0.026,0.3698,0.0263,0.3753,0.6546,0.0245,-0.7555,0.392,0.026,0.018,-0.0006,-0.014,"elapsed=0.20 mode=x_wave run_state=settle run_id=1 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3698, 0.0263, 0.3753] link7_z_axis=[0.6546, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3353 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0053 bump_center=[0.3920, 0.0260] penetration=0.0007 fz_virtual_N=0.922 desired_fz_N=6.000 force_error_N=-5.078 control_rate_hz=30.00 command_horizon=0.100 lead_time=0.030 stamp_mode=future normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0050 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0006, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0402 y_error=-0.0003 xy_error=0.0402 qdot_max=0.0587 min_singular=0.11089 joint_error_max=0.0069"
2026-07-13T14:41:26.736,16.356,0,x_wave,settle,settle,free,future,0.23,1.0,0.0,0.7556,0.3347,0.336,0.0,0.0,0.336,0.33,0.0047,0.0013,1.436,6.0,-4.564,30.0,0.1,0.03,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.005,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0396,-0.0003,0.0396,0.0588,0.11086,0.0065,0.41,0.026,0.3704,0.0263,0.3747,0.6546,0.0245,-0.7556,0.392,0.026,0.018,-0.0005,-0.014,"elapsed=0.23 mode=x_wave run_state=settle run_id=1 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3704, 0.0263, 0.3747] link7_z_axis=[0.6546, 0.0245, -0.7556] tool_down_score=0.7556 tcp_z=0.3347 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0047 bump_center=[0.3920, 0.0260] penetration=0.0013 fz_virtual_N=1.436 desired_fz_N=6.000 force_error_N=-4.564 control_rate_hz=30.00 command_horizon=0.100 lead_time=0.030 stamp_mode=future normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0050 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0005, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0396 y_error=-0.0003 xy_error=0.0396 qdot_max=0.0588 min_singular=0.11086 joint_error_max=0.0065"
2026-07-13T14:41:26.769,16.389,0,x_wave,settle,settle,free,future,0.27,1.0,0.0,0.7556,0.3345,0.336,0.0,0.0,0.336,0.33,0.0045,0.0015,1.604,6.0,-4.396,30.0,0.1,0.03,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.005,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0392,-0.0003,0.0392,0.0588,0.11085,0.0072,0.41,0.026,0.3708,0.0263,0.3745,0.6546,0.0245,-0.7556,0.392,0.026,0.018,-0.0005,-0.014,"elapsed=0.27 mode=x_wave run_state=settle run_id=1 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3708, 0.0263, 0.3745] link7_z_axis=[0.6546, 0.0245, -0.7556] tool_down_score=0.7556 tcp_z=0.3345 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0045 bump_center=[0.3920, 0.0260] penetration=0.0015 fz_virtual_N=1.604 desired_fz_N=6.000 force_error_N=-4.396 control_rate_hz=30.00 command_horizon=0.100 lead_time=0.030 stamp_mode=future normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0050 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0005, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0392 y_error=-0.0003 xy_error=0.0392 qdot_max=0.0588 min_singular=0.11085 joint_error_max=0.0072"
2026-07-13T14:41:26.803,16.423,0,x_wave,settle,settle,free,future,0.3,1.0,0.0,0.7556,0.334,0.336,0.0,0.0,0.336,0.33,0.004,0.002,2.207,6.0,-3.793,30.0,0.1,0.03,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.005,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0386,-0.0002,0.0386,0.0589,0.11082,0.0068,0.41,0.026,0.3714,0.0262,0.374,0.6546,0.0245,-0.7556,0.392,0.026,0.018,-0.0004,-0.014,"elapsed=0.30 mode=x_wave run_state=settle run_id=1 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3714, 0.0262, 0.3740] link7_z_axis=[0.6546, 0.0245, -0.7556] tool_down_score=0.7556 tcp_z=0.3340 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0040 bump_center=[0.3920, 0.0260] penetration=0.0020 fz_virtual_N=2.207 desired_fz_N=6.000 force_error_N=-3.793 control_rate_hz=30.00 command_horizon=0.100 lead_time=0.030 stamp_mode=future normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0050 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0004, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0386 y_error=-0.0002 xy_error=0.0386 qdot_max=0.0589 min_singular=0.11082 joint_error_max=0.0068"
2026-07-13T14:41:26.836,16.456,0,x_wave,settle,settle,free,future,0.33,1.0,0.0,0.7556,0.3335,0.336,0.0,0.0,0.336,0.33,0.0035,0.0025,2.708,6.0,-3.292,30.0,0.1,0.03,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.005,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.038,-0.0002,0.038,0.059,0.11079,0.0065,0.41,0.026,0.372,0.0262,0.3735,0.6546,0.0245,-0.7556,0.392,0.026,0.018,-0.0004,-0.014,"elapsed=0.33 mode=x_wave run_state=settle run_id=1 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3720, 0.0262, 0.3735] link7_z_axis=[0.6546, 0.0245, -0.7556] tool_down_score=0.7556 tcp_z=0.3335 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0035 bump_center=[0.3920, 0.0260] penetration=0.0025 fz_virtual_N=2.708 desired_fz_N=6.000 force_error_N=-3.292 control_rate_hz=30.00 command_horizon=0.100 lead_time=0.030 stamp_mode=future normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0050 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0004, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0380 y_error=-0.0002 xy_error=0.0380 qdot_max=0.0590 min_singular=0.11079 joint_error_max=0.0065"
