wall_time,ros_time,reset_index,mode,surface_source,tcp_limit,elapsed,tool_down_score,tcp_z,base_surface_z,surface_blend,surface_step,surface_z,eq_tcp_z,tcp_eq_err,penetration,fz_virtual_N,desired_fz_N,force_error_N,control_rate_hz,normal_mass,normal_damping,surface_stiffness,surface_damping,max_z_velocity,line_length,line_speed,wave_height,wave_cycles,surface_blend_time,vz_raw,vz_admittance,xy_error,qdot_max,min_singular,joint_error_max,xy_ref_x,xy_ref_y,link_x,link_y,link_z,link7_z_axis_x,link7_z_axis_y,link7_z_axis_z,bump_center_x,bump_center_y,vx_command,vy_command,vz_command,raw_state
2026-07-10T14:43:36.915,16.71,0,x_wave,settle,free,0.14,0.7555,0.3362,0.336,0.0,0.0,0.336,0.33,0.0062,-0.0002,0.0,6.0,-6.0,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.004,0.014,2.0,2.0,-0.014,-0.014,0.0414,0.0455,0.11095,0.0057,0.41,0.026,0.3686,0.0263,0.3762,0.6548,0.0243,-0.7555,0.392,0.026,0.012,-0.0006,-0.014,"elapsed=0.14 mode=x_wave xy_ref=[0.4100, 0.0260] link_xyz=[0.3686, 0.0263, 0.3762] link7_z_axis=[0.6548, 0.0243, -0.7555] tool_down_score=0.7555 tcp_z=0.3362 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0062 bump_center=[0.3920, 0.0260] penetration=-0.0002 fz_virtual_N=0.000 desired_fz_N=6.000 force_error_N=-6.000 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0040 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0006, -0.0140] xy_error=0.0414 qdot_max=0.0455 min_singular=0.11095 joint_error_max=0.0057"
2026-07-10T14:43:36.927,16.751,0,x_wave,settle,free,0.17,0.7555,0.336,0.336,0.0,0.0,0.336,0.33,0.006,0.0,0.105,6.0,-5.895,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.004,0.014,2.0,2.0,-0.014,-0.014,0.0412,0.0455,0.11096,0.0063,0.41,0.026,0.3689,0.0263,0.376,0.6547,0.0243,-0.7555,0.392,0.026,0.012,-0.0006,-0.014,"elapsed=0.17 mode=x_wave xy_ref=[0.4100, 0.0260] link_xyz=[0.3689, 0.0263, 0.3760] link7_z_axis=[0.6547, 0.0243, -0.7555] tool_down_score=0.7555 tcp_z=0.3360 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0060 bump_center=[0.3920, 0.0260] penetration=0.0000 fz_virtual_N=0.105 desired_fz_N=6.000 force_error_N=-5.895 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0040 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0006, -0.0140] xy_error=0.0412 qdot_max=0.0455 min_singular=0.11096 joint_error_max=0.0063"
2026-07-10T14:43:36.929,16.751,0,x_wave,settle,free,0.2,0.7555,0.3358,0.336,0.0,0.0,0.336,0.33,0.0058,0.0002,0.234,6.0,-5.766,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.004,0.014,2.0,2.0,-0.014,-0.014,0.041,0.0454,0.11097,0.0064,0.41,0.026,0.369,0.0263,0.3758,0.6547,0.0243,-0.7555,0.392,0.026,0.012,-0.0005,-0.014,"elapsed=0.20 mode=x_wave xy_ref=[0.4100, 0.0260] link_xyz=[0.3690, 0.0263, 0.3758] link7_z_axis=[0.6547, 0.0243, -0.7555] tool_down_score=0.7555 tcp_z=0.3358 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0058 bump_center=[0.3920, 0.0260] penetration=0.0002 fz_virtual_N=0.234 desired_fz_N=6.000 force_error_N=-5.766 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0040 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0005, -0.0140] xy_error=0.0410 qdot_max=0.0454 min_singular=0.11097 joint_error_max=0.0064"
2026-07-10T14:43:36.960,16.805,0,x_wave,settle,free,0.23,0.7555,0.3354,0.336,0.0,0.0,0.336,0.33,0.0054,0.0006,0.694,6.0,-5.306,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.004,0.014,2.0,2.0,-0.014,-0.014,0.0406,0.0454,0.11098,0.0072,0.41,0.026,0.3694,0.0263,0.3754,0.6547,0.0243,-0.7555,0.392,0.026,0.012,-0.0005,-0.014,"elapsed=0.23 mode=x_wave xy_ref=[0.4100, 0.0260] link_xyz=[0.3694, 0.0263, 0.3754] link7_z_axis=[0.6547, 0.0243, -0.7555] tool_down_score=0.7555 tcp_z=0.3354 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0054 bump_center=[0.3920, 0.0260] penetration=0.0006 fz_virtual_N=0.694 desired_fz_N=6.000 force_error_N=-5.306 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0040 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0005, -0.0140] xy_error=0.0406 qdot_max=0.0454 min_singular=0.11098 joint_error_max=0.0072"
2026-07-10T14:43:37.002,16.825,0,x_wave,settle,free,0.27,0.7555,0.335,0.336,0.0,0.0,0.336,0.33,0.005,0.001,1.152,6.0,-4.848,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.004,0.014,2.0,2.0,-0.014,-0.014,0.0402,0.0453,0.11099,0.007,0.41,0.026,0.3698,0.0263,0.375,0.6547,0.0243,-0.7555,0.392,0.026,0.012,-0.0005,-0.014,"elapsed=0.27 mode=x_wave xy_ref=[0.4100, 0.0260] link_xyz=[0.3698, 0.0263, 0.3750] link7_z_axis=[0.6547, 0.0243, -0.7555] tool_down_score=0.7555 tcp_z=0.3350 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0050 bump_center=[0.3920, 0.0260] penetration=0.0010 fz_virtual_N=1.152 desired_fz_N=6.000 force_error_N=-4.848 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0040 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0005, -0.0140] xy_error=0.0402 qdot_max=0.0453 min_singular=0.11099 joint_error_max=0.0070"
2026-07-10T14:43:37.031,16.873,0,x_wave,settle,free,0.3,0.7555,0.3348,0.336,0.0,0.0,0.336,0.33,0.0048,0.0012,1.302,6.0,-4.698,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.004,0.014,2.0,2.0,-0.014,-0.014,0.04,0.0453,0.11101,0.0067,0.41,0.026,0.37,0.0262,0.3748,0.6547,0.0243,-0.7555,0.392,0.026,0.012,-0.0004,-0.014,"elapsed=0.30 mode=x_wave xy_ref=[0.4100, 0.0260] link_xyz=[0.3700, 0.0262, 0.3748] link7_z_axis=[0.6547, 0.0243, -0.7555] tool_down_score=0.7555 tcp_z=0.3348 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0048 bump_center=[0.3920, 0.0260] penetration=0.0012 fz_virtual_N=1.302 desired_fz_N=6.000 force_error_N=-4.698 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0040 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0004, -0.0140] xy_error=0.0400 qdot_max=0.0453 min_singular=0.11101 joint_error_max=0.0067"
2026-07-10T14:43:37.058,16.885,0,x_wave,settle,free,0.33,0.7555,0.3343,0.336,0.0,0.0,0.336,0.33,0.0043,0.0017,1.86,6.0,-4.14,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.004,0.014,2.0,2.0,-0.014,-0.014,0.0396,0.0452,0.11102,0.0073,0.41,0.026,0.3704,0.0262,0.3743,0.6547,0.0243,-0.7555,0.392,0.026,0.012,-0.0004,-0.014,"elapsed=0.33 mode=x_wave xy_ref=[0.4100, 0.0260] link_xyz=[0.3704, 0.0262, 0.3743] link7_z_axis=[0.6547, 0.0243, -0.7555] tool_down_score=0.7555 tcp_z=0.3343 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0043 bump_center=[0.3920, 0.0260] penetration=0.0017 fz_virtual_N=1.860 desired_fz_N=6.000 force_error_N=-4.140 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0040 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0004, -0.0140] xy_error=0.0396 qdot_max=0.0452 min_singular=0.11102 joint_error_max=0.0073"
2026-07-10T14:43:37.098,16.933,0,x_wave,settle,free,0.37,0.7555,0.3338,0.336,0.0,0.0,0.336,0.33,0.0038,0.0022,2.335,6.0,-3.665,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.004,0.014,2.0,2.0,-0.014,-0.014,0.0391,0.0452,0.11104,0.007,0.41,0.026,0.3709,0.0262,0.3738,0.6547,0.0243,-0.7555,0.392,0.026,0.012,-0.0004,-0.014,"elapsed=0.37 mode=x_wave xy_ref=[0.4100, 0.0260] link_xyz=[0.3709, 0.0262, 0.3738] link7_z_axis=[0.6547, 0.0243, -0.7555] tool_down_score=0.7555 tcp_z=0.3338 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0038 bump_center=[0.3920, 0.0260] penetration=0.0022 fz_virtual_N=2.335 desired_fz_N=6.000 force_error_N=-3.665 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0040 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0004, -0.0140] xy_error=0.0391 qdot_max=0.0452 min_singular=0.11104 joint_error_max=0.0070"
2026-07-10T14:43:37.132,16.958,0,x_wave,settle,free,0.4,0.7555,0.3336,0.336,0.0,0.0,0.336,0.33,0.0036,0.0024,2.486,6.0,-3.514,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.004,0.014,2.0,2.0,-0.014,-0.014,0.0389,0.0451,0.11106,0.0066,0.41,0.026,0.3711,0.0262,0.3736,0.6546,0.0243,-0.7555,0.392,0.026,0.012,-0.0003,-0.014,"elapsed=0.40 mode=x_wave xy_ref=[0.4100, 0.0260] link_xyz=[0.3711, 0.0262, 0.3736] link7_z_axis=[0.6546, 0.0243, -0.7555] tool_down_score=0.7555 tcp_z=0.3336 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0036 bump_center=[0.3920, 0.0260] penetration=0.0024 fz_virtual_N=2.486 desired_fz_N=6.000 force_error_N=-3.514 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0040 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0003, -0.0140] xy_error=0.0389 qdot_max=0.0451 min_singular=0.11106 joint_error_max=0.0066"
2026-07-10T14:43:37.172,17.007,0,x_wave,settle,free,0.43,0.7556,0.3331,0.336,0.0,0.0,0.336,0.33,0.0031,0.0029,3.043,6.0,-2.957,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.004,0.014,2.0,2.0,-0.014,-0.014,0.0385,0.0451,0.11107,0.0072,0.41,0.026,0.3715,0.0262,0.3731,0.6546,0.0243,-0.7556,0.392,0.026,0.012,-0.0003,-0.014,"elapsed=0.43 mode=x_wave xy_ref=[0.4100, 0.0260] link_xyz=[0.3715, 0.0262, 0.3731] link7_z_axis=[0.6546, 0.0243, -0.7556] tool_down_score=0.7556 tcp_z=0.3331 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0031 bump_center=[0.3920, 0.0260] penetration=0.0029 fz_virtual_N=3.043 desired_fz_N=6.000 force_error_N=-2.957 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0040 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0120, -0.0003, -0.0140] xy_error=0.0385 qdot_max=0.0451 min_singular=0.11107 joint_error_max=0.0072"
