wall_time,ros_time,reset_index,mode,run_state,surface_source,tcp_limit,elapsed,run_id,run_elapsed,tool_down_score,tcp_z,base_surface_z,surface_blend,surface_step,surface_z,eq_tcp_z,tcp_eq_err,penetration,fz_virtual_N,desired_fz_N,force_error_N,control_rate_hz,normal_mass,normal_damping,surface_stiffness,surface_damping,max_z_velocity,line_length,line_speed,line_turn_time,wave_height,wave_cycles,surface_blend_time,vz_raw,vz_admittance,xy_ref_vx,xy_ref_vy,x_error,y_error,xy_error,qdot_max,min_singular,joint_error_max,xy_ref_x,xy_ref_y,link_x,link_y,link_z,link7_z_axis_x,link7_z_axis_y,link7_z_axis_z,bump_center_x,bump_center_y,vx_command,vy_command,vz_command,raw_state
2026-07-11T10:18:50.014,16.191,0,x_wave,settle,settle,free,0.07,0.0,0.0,0.7555,0.3363,0.336,0.0,0.0,0.336,0.33,0.0063,-0.0003,0.0,6.0,-6.0,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.006,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0415,-0.0004,0.0415,0.0586,0.11094,0.004,0.41,0.026,0.3685,0.0264,0.3763,0.6547,0.0245,-0.7555,0.392,0.026,0.018,-0.0007,-0.014,"elapsed=0.07 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3685, 0.0264, 0.3763] link7_z_axis=[0.6547, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3363 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0063 bump_center=[0.3920, 0.0260] penetration=-0.0003 fz_virtual_N=0.000 desired_fz_N=6.000 force_error_N=-6.000 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0007, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0415 y_error=-0.0004 xy_error=0.0415 qdot_max=0.0586 min_singular=0.11094 joint_error_max=0.0040"
2026-07-11T10:18:50.039,16.223,0,x_wave,settle,settle,free,0.1,0.0,0.0,0.7555,0.3363,0.336,0.0,0.0,0.336,0.33,0.0063,-0.0003,0.0,6.0,-6.0,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.006,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0414,-0.0004,0.0414,0.0586,0.11094,0.0057,0.41,0.026,0.3686,0.0264,0.3763,0.6547,0.0245,-0.7555,0.392,0.026,0.018,-0.0007,-0.014,"elapsed=0.10 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3686, 0.0264, 0.3763] link7_z_axis=[0.6547, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3363 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0063 bump_center=[0.3920, 0.0260] penetration=-0.0003 fz_virtual_N=0.000 desired_fz_N=6.000 force_error_N=-6.000 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0007, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0414 y_error=-0.0004 xy_error=0.0414 qdot_max=0.0586 min_singular=0.11094 joint_error_max=0.0057"
2026-07-11T10:18:50.073,16.257,0,x_wave,settle,settle,free,0.13,0.0,0.0,0.7555,0.3362,0.336,0.0,0.0,0.336,0.33,0.0062,-0.0002,0.0,6.0,-6.0,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.006,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0413,-0.0004,0.0413,0.0586,0.11093,0.0069,0.41,0.026,0.3687,0.0264,0.3762,0.6547,0.0245,-0.7555,0.392,0.026,0.018,-0.0007,-0.014,"elapsed=0.13 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3687, 0.0264, 0.3762] link7_z_axis=[0.6547, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3362 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0062 bump_center=[0.3920, 0.0260] penetration=-0.0002 fz_virtual_N=0.000 desired_fz_N=6.000 force_error_N=-6.000 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0007, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0413 y_error=-0.0004 xy_error=0.0413 qdot_max=0.0586 min_singular=0.11093 joint_error_max=0.0069"
2026-07-11T10:18:50.105,16.29,0,x_wave,settle,settle,free,0.17,0.0,0.0,0.7555,0.336,0.336,0.0,0.0,0.336,0.33,0.006,0.0,0.135,6.0,-5.865,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.006,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.041,-0.0004,0.041,0.0586,0.11092,0.0082,0.41,0.026,0.369,0.0264,0.376,0.6547,0.0245,-0.7555,0.392,0.026,0.018,-0.0007,-0.014,"elapsed=0.17 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3690, 0.0264, 0.3760] link7_z_axis=[0.6547, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3360 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0060 bump_center=[0.3920, 0.0260] penetration=0.0000 fz_virtual_N=0.135 desired_fz_N=6.000 force_error_N=-5.865 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0007, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0410 y_error=-0.0004 xy_error=0.0410 qdot_max=0.0586 min_singular=0.11092 joint_error_max=0.0082"
2026-07-11T10:18:50.138,16.323,0,x_wave,settle,settle,free,0.2,0.0,0.0,0.7555,0.3356,0.336,0.0,0.0,0.336,0.33,0.0056,0.0004,0.536,6.0,-5.464,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.006,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0406,-0.0004,0.0406,0.0587,0.11091,0.0085,0.41,0.026,0.3694,0.0264,0.3756,0.6547,0.0245,-0.7555,0.392,0.026,0.018,-0.0006,-0.014,"elapsed=0.20 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3694, 0.0264, 0.3756] link7_z_axis=[0.6547, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3356 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0056 bump_center=[0.3920, 0.0260] penetration=0.0004 fz_virtual_N=0.536 desired_fz_N=6.000 force_error_N=-5.464 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0006, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0406 y_error=-0.0004 xy_error=0.0406 qdot_max=0.0587 min_singular=0.11091 joint_error_max=0.0085"
2026-07-11T10:18:50.173,16.358,0,x_wave,settle,settle,free,0.23,0.0,0.0,0.7555,0.3354,0.336,0.0,0.0,0.336,0.33,0.0054,0.0006,0.691,6.0,-5.309,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.006,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0403,-0.0003,0.0403,0.0587,0.11088,0.0085,0.41,0.026,0.3697,0.0263,0.3754,0.6547,0.0245,-0.7555,0.392,0.026,0.018,-0.0006,-0.014,"elapsed=0.23 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3697, 0.0263, 0.3754] link7_z_axis=[0.6547, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3354 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0054 bump_center=[0.3920, 0.0260] penetration=0.0006 fz_virtual_N=0.691 desired_fz_N=6.000 force_error_N=-5.309 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0006, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0403 y_error=-0.0003 xy_error=0.0403 qdot_max=0.0587 min_singular=0.11088 joint_error_max=0.0085"
2026-07-11T10:18:50.205,16.39,0,x_wave,settle,settle,free,0.27,0.0,0.0,0.7555,0.3349,0.336,0.0,0.0,0.336,0.33,0.0049,0.0011,1.248,6.0,-4.752,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.006,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0398,-0.0003,0.0398,0.0588,0.11087,0.0093,0.41,0.026,0.3702,0.0263,0.3749,0.6547,0.0245,-0.7555,0.392,0.026,0.018,-0.0006,-0.014,"elapsed=0.27 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3702, 0.0263, 0.3749] link7_z_axis=[0.6547, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3349 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0049 bump_center=[0.3920, 0.0260] penetration=0.0011 fz_virtual_N=1.248 desired_fz_N=6.000 force_error_N=-4.752 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0006, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0398 y_error=-0.0003 xy_error=0.0398 qdot_max=0.0588 min_singular=0.11087 joint_error_max=0.0093"
2026-07-11T10:18:50.238,16.423,0,x_wave,settle,settle,free,0.3,0.0,0.0,0.7555,0.3344,0.336,0.0,0.0,0.336,0.33,0.0044,0.0016,1.754,6.0,-4.246,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.006,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0392,-0.0003,0.0392,0.0589,0.11085,0.0089,0.41,0.026,0.3708,0.0263,0.3744,0.6547,0.0245,-0.7555,0.392,0.026,0.018,-0.0005,-0.014,"elapsed=0.30 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3708, 0.0263, 0.3744] link7_z_axis=[0.6547, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3344 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0044 bump_center=[0.3920, 0.0260] penetration=0.0016 fz_virtual_N=1.754 desired_fz_N=6.000 force_error_N=-4.246 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0005, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0392 y_error=-0.0003 xy_error=0.0392 qdot_max=0.0589 min_singular=0.11085 joint_error_max=0.0089"
2026-07-11T10:18:50.272,16.456,0,x_wave,settle,settle,free,0.33,0.0,0.0,0.7555,0.3342,0.336,0.0,0.0,0.336,0.33,0.0042,0.0018,1.917,6.0,-4.083,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.006,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0389,-0.0003,0.0389,0.0589,0.11082,0.0086,0.41,0.026,0.3711,0.0263,0.3742,0.6547,0.0245,-0.7555,0.392,0.026,0.018,-0.0005,-0.014,"elapsed=0.33 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3711, 0.0263, 0.3742] link7_z_axis=[0.6547, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3342 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0042 bump_center=[0.3920, 0.0260] penetration=0.0018 fz_virtual_N=1.917 desired_fz_N=6.000 force_error_N=-4.083 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0005, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0389 y_error=-0.0003 xy_error=0.0389 qdot_max=0.0589 min_singular=0.11082 joint_error_max=0.0086"
2026-07-11T10:18:50.305,16.489,0,x_wave,settle,settle,free,0.37,0.0,0.0,0.7555,0.3337,0.336,0.0,0.0,0.336,0.33,0.0037,0.0023,2.526,6.0,-3.474,30.0,1.5,65.0,1000.0,12.0,0.014,0.18,0.006,0.5,0.014,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0382,-0.0002,0.0382,0.059,0.11081,0.0093,0.41,0.026,0.3718,0.0262,0.3737,0.6546,0.0245,-0.7555,0.392,0.026,0.018,-0.0004,-0.014,"elapsed=0.37 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3718, 0.0262, 0.3737] link7_z_axis=[0.6546, 0.0245, -0.7555] tool_down_score=0.7555 tcp_z=0.3337 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0037 bump_center=[0.3920, 0.0260] penetration=0.0023 fz_virtual_N=2.526 desired_fz_N=6.000 force_error_N=-3.474 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0140 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0004, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0382 y_error=-0.0002 xy_error=0.0382 qdot_max=0.0590 min_singular=0.11081 joint_error_max=0.0093"
