wall_time,ros_time,reset_index,mode,run_state,surface_source,tcp_limit,elapsed,run_id,run_elapsed,tool_down_score,tcp_z,base_surface_z,surface_blend,surface_step,surface_z,eq_tcp_z,tcp_eq_err,penetration,fz_virtual_N,desired_fz_N,force_error_N,control_rate_hz,normal_mass,normal_damping,surface_stiffness,surface_damping,max_z_velocity,max_xy_velocity,line_length,line_speed,line_turn_time,wave_height,wave_cycles,surface_blend_time,vz_raw,vz_admittance,xy_ref_vx,xy_ref_vy,x_error,y_error,xy_error,qdot_max,min_singular,joint_error_max,xy_ref_x,xy_ref_y,link_x,link_y,link_z,link7_z_axis_x,link7_z_axis_y,link7_z_axis_z,bump_center_x,bump_center_y,vx_command,vy_command,vz_command,raw_state
2026-07-13T09:39:57.454,16.12,0,x_wave,settle,settle,free,0.1,0.0,0.0,0.7553,0.3364,0.336,0.0,0.0,0.336,0.33,0.0064,-0.0004,0.0,6.0,-6.0,30.0,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.006,0.5,0.02,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0415,-0.0003,0.0415,0.0586,0.11094,0.0058,0.41,0.026,0.3685,0.0263,0.3764,0.6549,0.0243,-0.7553,0.392,0.026,0.018,-0.0006,-0.014,"elapsed=0.10 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3685, 0.0263, 0.3764] link7_z_axis=[0.6549, 0.0243, -0.7553] tool_down_score=0.7553 tcp_z=0.3364 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0064 bump_center=[0.3920, 0.0260] penetration=-0.0004 fz_virtual_N=0.000 desired_fz_N=6.000 force_error_N=-6.000 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0200 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0006, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0415 y_error=-0.0003 xy_error=0.0415 qdot_max=0.0586 min_singular=0.11094 joint_error_max=0.0058"
2026-07-13T09:39:57.474,16.155,0,x_wave,settle,settle,free,0.13,0.0,0.0,0.7553,0.3362,0.336,0.0,0.0,0.336,0.33,0.0062,-0.0002,0.0,6.0,-6.0,30.0,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.006,0.5,0.02,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0413,-0.0003,0.0413,0.0586,0.11093,0.0072,0.41,0.026,0.3687,0.0263,0.3762,0.6549,0.0243,-0.7553,0.392,0.026,0.018,-0.0006,-0.014,"elapsed=0.13 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3687, 0.0263, 0.3762] link7_z_axis=[0.6549, 0.0243, -0.7553] tool_down_score=0.7553 tcp_z=0.3362 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0062 bump_center=[0.3920, 0.0260] penetration=-0.0002 fz_virtual_N=0.000 desired_fz_N=6.000 force_error_N=-6.000 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0200 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0006, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0413 y_error=-0.0003 xy_error=0.0413 qdot_max=0.0586 min_singular=0.11093 joint_error_max=0.0072"
2026-07-13T09:39:57.507,16.187,0,x_wave,settle,settle,free,0.17,0.0,0.0,0.7553,0.336,0.336,0.0,0.0,0.336,0.33,0.006,0.0,0.123,6.0,-5.877,30.0,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.006,0.5,0.02,2.0,2.0,-0.014,-0.014,0.0,0.0,0.041,-0.0003,0.041,0.0587,0.11092,0.0079,0.41,0.026,0.369,0.0263,0.376,0.6549,0.0243,-0.7553,0.392,0.026,0.018,-0.0005,-0.014,"elapsed=0.17 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3690, 0.0263, 0.3760] link7_z_axis=[0.6549, 0.0243, -0.7553] tool_down_score=0.7553 tcp_z=0.3360 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0060 bump_center=[0.3920, 0.0260] penetration=0.0000 fz_virtual_N=0.123 desired_fz_N=6.000 force_error_N=-5.877 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0200 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0005, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0410 y_error=-0.0003 xy_error=0.0410 qdot_max=0.0587 min_singular=0.11092 joint_error_max=0.0079"
2026-07-13T09:39:57.541,16.22,0,x_wave,settle,settle,free,0.2,0.0,0.0,0.7553,0.3358,0.336,0.0,0.0,0.336,0.33,0.0058,0.0002,0.267,6.0,-5.733,30.0,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.006,0.5,0.02,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0408,-0.0003,0.0408,0.0587,0.11091,0.009,0.41,0.026,0.3692,0.0263,0.3758,0.6549,0.0243,-0.7553,0.392,0.026,0.018,-0.0005,-0.014,"elapsed=0.20 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3692, 0.0263, 0.3758] link7_z_axis=[0.6549, 0.0243, -0.7553] tool_down_score=0.7553 tcp_z=0.3358 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0058 bump_center=[0.3920, 0.0260] penetration=0.0002 fz_virtual_N=0.267 desired_fz_N=6.000 force_error_N=-5.733 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0200 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0005, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0408 y_error=-0.0003 xy_error=0.0408 qdot_max=0.0587 min_singular=0.11091 joint_error_max=0.0090"
2026-07-13T09:39:57.576,16.254,0,x_wave,settle,settle,free,0.23,0.0,0.0,0.7554,0.3354,0.336,0.0,0.0,0.336,0.33,0.0054,0.0006,0.768,6.0,-5.232,30.0,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.006,0.5,0.02,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0402,-0.0003,0.0402,0.0587,0.11089,0.0091,0.41,0.026,0.3698,0.0263,0.3754,0.6549,0.0243,-0.7554,0.392,0.026,0.018,-0.0005,-0.014,"elapsed=0.23 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3698, 0.0263, 0.3754] link7_z_axis=[0.6549, 0.0243, -0.7554] tool_down_score=0.7554 tcp_z=0.3354 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0054 bump_center=[0.3920, 0.0260] penetration=0.0006 fz_virtual_N=0.768 desired_fz_N=6.000 force_error_N=-5.232 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0200 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0005, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0402 y_error=-0.0003 xy_error=0.0402 qdot_max=0.0587 min_singular=0.11089 joint_error_max=0.0091"
2026-07-13T09:39:57.610,16.288,0,x_wave,settle,settle,free,0.27,0.0,0.0,0.7554,0.3349,0.336,0.0,0.0,0.336,0.33,0.0049,0.0011,1.264,6.0,-4.736,30.0,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.006,0.5,0.02,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0397,-0.0002,0.0397,0.0588,0.11086,0.0088,0.41,0.026,0.3703,0.0262,0.3749,0.6549,0.0243,-0.7554,0.392,0.026,0.018,-0.0004,-0.014,"elapsed=0.27 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3703, 0.0262, 0.3749] link7_z_axis=[0.6549, 0.0243, -0.7554] tool_down_score=0.7554 tcp_z=0.3349 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0049 bump_center=[0.3920, 0.0260] penetration=0.0011 fz_virtual_N=1.264 desired_fz_N=6.000 force_error_N=-4.736 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0200 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0004, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0397 y_error=-0.0002 xy_error=0.0397 qdot_max=0.0588 min_singular=0.11086 joint_error_max=0.0088"
2026-07-13T09:39:57.644,16.322,0,x_wave,settle,settle,free,0.3,0.0,0.0,0.7554,0.3347,0.336,0.0,0.0,0.336,0.33,0.0047,0.0013,1.429,6.0,-4.571,30.0,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.006,0.5,0.02,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0394,-0.0002,0.0394,0.0588,0.11085,0.0096,0.41,0.026,0.3706,0.0262,0.3747,0.6549,0.0243,-0.7554,0.392,0.026,0.018,-0.0004,-0.014,"elapsed=0.30 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3706, 0.0262, 0.3747] link7_z_axis=[0.6549, 0.0243, -0.7554] tool_down_score=0.7554 tcp_z=0.3347 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0047 bump_center=[0.3920, 0.0260] penetration=0.0013 fz_virtual_N=1.429 desired_fz_N=6.000 force_error_N=-4.571 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0200 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0004, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0394 y_error=-0.0002 xy_error=0.0394 qdot_max=0.0588 min_singular=0.11085 joint_error_max=0.0096"
2026-07-13T09:39:57.676,16.355,0,x_wave,settle,settle,free,0.33,0.0,0.0,0.7554,0.3342,0.336,0.0,0.0,0.336,0.33,0.0042,0.0018,2.024,6.0,-3.976,30.0,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.006,0.5,0.02,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0388,-0.0002,0.0388,0.0589,0.11083,0.0093,0.41,0.026,0.3712,0.0262,0.3742,0.6548,0.0243,-0.7554,0.392,0.026,0.018,-0.0004,-0.014,"elapsed=0.33 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3712, 0.0262, 0.3742] link7_z_axis=[0.6548, 0.0243, -0.7554] tool_down_score=0.7554 tcp_z=0.3342 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0042 bump_center=[0.3920, 0.0260] penetration=0.0018 fz_virtual_N=2.024 desired_fz_N=6.000 force_error_N=-3.976 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0200 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0004, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0388 y_error=-0.0002 xy_error=0.0388 qdot_max=0.0589 min_singular=0.11083 joint_error_max=0.0093"
2026-07-13T09:39:57.709,16.388,0,x_wave,settle,settle,free,0.37,0.0,0.0,0.7554,0.3336,0.336,0.0,0.0,0.336,0.33,0.0036,0.0024,2.544,6.0,-3.456,30.0,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.006,0.5,0.02,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0381,-0.0002,0.0381,0.059,0.1108,0.0089,0.41,0.026,0.3719,0.0262,0.3736,0.6548,0.0243,-0.7554,0.392,0.026,0.018,-0.0003,-0.014,"elapsed=0.37 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3719, 0.0262, 0.3736] link7_z_axis=[0.6548, 0.0243, -0.7554] tool_down_score=0.7554 tcp_z=0.3336 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0036 bump_center=[0.3920, 0.0260] penetration=0.0024 fz_virtual_N=2.544 desired_fz_N=6.000 force_error_N=-3.456 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0200 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0003, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0381 y_error=-0.0002 xy_error=0.0381 qdot_max=0.0590 min_singular=0.11080 joint_error_max=0.0089"
2026-07-13T09:39:57.743,16.421,0,x_wave,settle,settle,free,0.4,0.0,0.0,0.7554,0.3334,0.336,0.0,0.0,0.336,0.33,0.0034,0.0026,2.707,6.0,-3.293,30.0,1.5,65.0,1000.0,12.0,0.014,0.018,0.18,0.006,0.5,0.02,2.0,2.0,-0.014,-0.014,0.0,0.0,0.0378,-0.0002,0.0378,0.059,0.11079,0.0096,0.41,0.026,0.3722,0.0262,0.3734,0.6548,0.0243,-0.7554,0.392,0.026,0.018,-0.0003,-0.014,"elapsed=0.40 mode=x_wave run_state=settle run_id=0 run_elapsed=0.00 xy_ref=[0.4100, 0.0260] link_xyz=[0.3722, 0.0262, 0.3734] link7_z_axis=[0.6548, 0.0243, -0.7554] tool_down_score=0.7554 tcp_z=0.3334 base_surface_z=0.3360 surface_source=settle surface_blend=0.000 surface_step=0.0000 surface_z=0.3360 eq_tcp_z=0.3300 tcp_eq_err=0.0034 bump_center=[0.3920, 0.0260] penetration=0.0026 fz_virtual_N=2.707 desired_fz_N=6.000 force_error_N=-3.293 control_rate_hz=30.00 normal_mass=1.500 normal_damping=65.000 surface_stiffness=1000.000 surface_damping=12.000 max_z_velocity=0.0140 max_xy_velocity=0.0180 line_length=0.1800 line_speed=0.0060 line_turn_time=0.500 wave_height=0.0200 wave_cycles=2.000 surface_blend_time=2.000 vz_raw=-0.0140 vz_admittance=-0.0140 tcp_limit=free cartesian_velocity=[0.0180, -0.0003, -0.0140] xy_ref_vx=0.0000 xy_ref_vy=0.0000 x_error=0.0378 y_error=-0.0002 xy_error=0.0378 qdot_max=0.0590 min_singular=0.11079 joint_error_max=0.0096"
